naslov,mesec,leto,jezik,število besed,komentarji,kudos,bookmarks,hits,napisana poglavja,vsa poglavja,avtor
"You cannot save people, you can only love them",12,2017,English,51732,550,10870,2548,203590,9,9,heyitsamorette (AmoretteHD)
neither red nor gold,6,2021,English,1077,243,9047,1035,62806,1,1,dirgewithoutmusic
Time to Eternity,5,2013,English,16683,95,9591,1496,153125,1,1,calrissian18
Rorschach,12,2015,English,5422,313,19793,2221,262852,1,1,gracerene
Who’s Afraid of Little Old Me? (you should be),8,2025,English,539502,7723,14310,3680,591558,90,ni podatka,Snoweylily
Emerald,8,2017,English,98332,1354,11677,922,196718,14,14,geoffaree
In Which Harry is Magnetic North and Draco Is An Idiot,12,2014,English,13742,270,12195,2298,132003,1,1,bryoneybrynn
Draco Malfoy y los héroes del Olimpo,8,2025,Español,895955,13123,9376,354,335726,103,ni podatka,Luka_sama
Once more with feeling,9,2021,English,154843,1863,9038,3315,310990,38,38,Mei (Ima1)
Home is With You,4,2019,English,15738,338,14204,2294,219072,4,4,a_dale
tempor · al | ary,8,2020,English,15822,338,9933,2140,111747,4,4,asterismal (asterisms)
A Cure For Nightmares [+podfic],5,2014,English,36083,392,8415,1932,231652,14,14,picascribit
Seven Steps,7,2019,English,134003,1534,10230,2568,222474,43,43,DorthyAnn
The Silent World Within You,7,2011,English,95189,446,11881,3520,378497,5,5,Femme (femmequixotic)
Pros and Cons,9,2022,English,47864,1515,9429,2720,260892,13,13,ChaosAndCrumpets
Friendly Neighbourhood Falcon-Mage,3,2021,English,52934,1849,19463,6949,381512,19,ni podatka,Fregor
Dissident,1,2019,English,181649,741,11777,3045,392978,24,24,Constance1
The Freak Who Lived,7,2020,English,94069,3208,10831,2884,361109,44,ni podatka,DeviantHufflepuff (orphan_account)
A Second Chance at Happiness? Maybe?,7,2018,English,46872,443,9565,2484,257784,13,13,animeotaku20
"The Birds, The Bees, And The Snakes",6,2004,English,2557,128,8173,284,103364,1,1,copperbadge
Hell is Your Son from Another Dimension,10,2021,English,28365,519,17090,3268,231398,7,7,wynnebat
Stark Realisation,9,2020,English,35680,336,8626,2281,149752,15,15,black_blade
"Every Day, a Little Death",1,2019,English,67132,1415,15197,3772,503081,11,11,LovesBitca8
The Greater Good,3,2025,English,298734,3827,9269,3043,459435,66,ni podatka,insiga
Harry Potter and the Immortal's Playground,1,2022,English,24711,1131,17283,4435,216462,10,10,May_May_0_0
At the end of every road,9,2023,English,90346,1283,11941,3733,229250,9,9,sassysquatch
Good to Me (And I'd Be So Good to You),4,2014,English,8905,693,19618,3963,281652,1,1,AWickedMemory (TeddyLaCroix)
fruit loops in time (circle around me),7,2021,English,15101,1104,10889,2595,134467,7,ni podatka,justprompts
Avarice,3,2025,English,374047,2187,9667,2933,535631,79,ni podatka,RiddleInsomnia
Do I Wanna Know?,1,2018,English,25076,456,12458,2129,202708,9,9,shadow_prince
The Power of Seven,4,2021,English,283600,3090,8537,2213,1324701,81,81,VelvetInferno
All the Sense in the World,5,2017,English,10805,402,9603,1315,140157,1,1,loveglowsinthedark
For Want of an Outfit,7,2025,English,1442838,4892,9932,2328,1065778,271,ni podatka,CmptrWz
Youngblood,7,2024,English,75759,1061,10441,2580,193321,10,10,rweoutofthewoods
Found Family,3,2020,English,148005,2126,9216,2503,380249,103,103,Doctor_Who_Cares
So Much for No Strings Attached,2,2025,English,492461,3129,8448,2288,598771,127,ni podatka,PottersoftheFuture
Eternity,9,2016,English,1099,113,8119,602,115341,1,1,TheFeistyRogue
